image_path,sid,dup_flag,board_pixels,rock_pixels,rock_area_cm2,ground_truth_cm2,direction_error,abs_error,pct_error,chosen_board_color,chosen_rock_color
crayon_test/Crayon Surface Area Photos\purple_crayon\14314_NatchaugRiver_Rocks_061026.JPG,14314,0,9631435,2210795,319.87379292410736,417.6680230390759,underestimate,97.79423011496851,23.414344580030047,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\15015_SethWilliamsBrook_Rocks_061026.JPG,15015,0,9707630,2001262,287.2843170317781,296.8574766428531,underestimate,9.573159611075027,3.2248335865875535,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\18981_LymanBrook_Rocks_060826.JPG,18981,0,9700485,97532,14.011184952010131,296.05221809184246,underestimate,282.04103313983234,95.26732647290503,orange,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\20460_SaffordBrook_RocksShade_060926.JPG,20460,0,9974611,2611959,364.91487957078226,344.4112586417266,overestimate,20.50362092905567,5.953237710612863,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\20460_SaffordBrook_RocksSun_060926.JPG,20460,0,9756538,2673002,381.7901571122051,344.4112586417266,overestimate,37.37889847047853,10.852983905895448,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\21059_FryBrook_Rocks_061026.JPG,21059,0,9836621,2849667,403.7098622906382,351.1797832191406,overestimate,52.53007907149765,14.958172873726683,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\21060_MillRiver_Rocks1_070126.JPG,21060,0,8927207,1647488,257.1744615592312,253.65644356836165,overestimate,3.518017990869538,1.3869223826444665,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\21060_MillRiver_Rocks2_070126.JPG,21060,0,9751534,1219212,174.2318201492401,253.65644356836165,underestimate,79.42462341912156,31.31188875070553,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\21061_RockadundeeBrookNNT_Rocks_060926.JPG,21061,0,9680835,2607780,375.3870760908537,336.46749185472936,overestimate,38.919584236124365,11.567115747671691,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\21063_NorotonRiver_Rocks_070126.JPG,21063,0,9174164,1786066,271.3014957667641,307.10820035977275,underestimate,35.80670459300865,11.659312434855734,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\21064-D_SalmonRiver_Rocks_060826.JPG,21064,1,9677017,2018093,290.61689367093186,387.133489334536,underestimate,96.51659566360416,24.931089229586306,orange,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\21064_SalmonRiver_Rocks_060826.JPG,21064,0,9585243,2242775,326.06468433194647,314.05083489416205,overestimate,12.013849437784415,3.825447380782538,orange,purple
crayon_test/Crayon Surface Area Photos\red_crayon\18411_PequonnockRiver_Rocks_070126.JPG,18411,0,9368076,1902559,283.0146471047417,324.88917971587324,underestimate,41.87453261113154,12.888866489106304,blue,red
crayon_test/Crayon Surface Area Photos\red_crayon\20636_NonnewaugRiverNNT_Rocks_062526.JPG,20636,0,9433682,1714829,253.31492069611843,239.59706454260777,overestimate,13.717856153510667,5.72538573446137,blue,red
crayon_test/Crayon Surface Area Photos\red_crayon\21056_ChaseBrook_Rocks_062526.JPG,21056,0,7061575,1886698,372.32482787887966,429.46397262415104,underestimate,57.13914474527138,13.304758579895404,blue,red
crayon_test/Crayon Surface Area Photos\red_crayon\21062_NonnewaugRiver_RocksShade_062526.JPG,21062,0,9997831,2635877,367.4011688626463,351.4409481546035,overestimate,15.960220708042755,4.541366278417176,blue,red
crayon_test/Crayon Surface Area Photos\red_crayon\21062_NonnewaugRiver_RocksSun_062526.JPG,21062,0,9734404,2599268,372.10274862444584,351.4409481546035,overestimate,20.66180046984232,5.87916706301194,blue,red
crayon_test/Crayon Surface Area Photos\red_crayon\21066_TankerhoosenRiver_RocksShade_062526.JPG,21066,0,9453542,1877576,276.77327434157485,238.77004224697512,overestimate,38.003232094599724,15.916248008739117,blue,red
crayon_test/Crayon Surface Area Photos\red_crayon\21066_TankerhoosenRiver_RocksSun_062526.JPG,21066,0,9629936,1823980,263.9476839189793,238.77004224697512,overestimate,25.17764167200417,10.544723883727979,blue,red
crayon_test/Crayon Surface Area Photos\yellow_crayon\14441_SalmonRiver_Rocks_060826.JPG,14441,0,9354603,2275413,338.9659373393825,368.3949052150715,underestimate,29.42896787568901,7.988429660423282,orange,yellow
crayon_test/Crayon Surface Area Photos\yellow_crayon\21057-D_DurkeeBrook_Rocks_060926.JPG,21057,1,9977747,2788399,389.4427426847363,350.9186182836777,overestimate,38.5241244010586,10.97807935910549,blue,yellow
crayon_test/Crayon Surface Area Photos\yellow_crayon\21057_DurkeeBrook_Rocks_060926.JPG,21057,0,9305160,2985841,447.16110070644675,459.71557764860603,underestimate,12.554476942159283,2.7309226731828478,blue,yellow
