image_path,sid,dup_flag,board_pixels,rock_pixels,rock_area_cm2,ground_truth_cm2,direction_error,abs_error,pct_error,chosen_board_color,chosen_rock_color
crayon_test/Crayon Surface Area Photos\purple_crayon\14314_NatchaugRiver_Rocks_061026.JPG,14314,0,9631435,2210795,319.8737929,417.668023,underestimate,97.79423011,23.41434458,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\15015_SethWilliamsBrook_Rocks_061026.JPG,15015,0,9707630,2001262,287.284317,296.8574766,underestimate,9.573159611,3.224833587,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\18981_LymanBrook_Rocks_060826.JPG,18981,0,9700485,97532,14.01118495,296.0522181,underestimate,282.0410331,95.26732647,orange,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\20460_SaffordBrook_RocksShade_060926.JPG,20460,0,9974611,2611959,364.9148796,344.4112586,overestimate,20.50362093,5.953237711,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\20460_SaffordBrook_RocksSun_060926.JPG,20460,0,9756538,2673002,381.7901571,344.4112586,overestimate,37.37889847,10.85298391,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\21059_FryBrook_Rocks_061026.JPG,21059,0,9836621,2849667,403.7098623,351.1797832,overestimate,52.53007907,14.95817287,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\21060_MillRiver_Rocks1_070126.JPG,21060,0,8927207,1647488,257.1744616,253.6564436,overestimate,3.518017991,1.386922383,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\21060_MillRiver_Rocks2_070126.JPG,21060,0,9751534,1219212,174.2318201,253.6564436,underestimate,79.42462342,31.31188875,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\21061_RockadundeeBrookNNT_Rocks_060926.JPG,21061,0,9680835,2607780,375.3870761,336.4674919,overestimate,38.91958424,11.56711575,blue,purple
crayon_test/Crayon Surface Area Photos\purple_crayon\21063_NorotonRiver_Rocks_070126.JPG,21063,0,9174164,1786066,271.3014958,307.1082004,underestimate,35.80670459,11.65931243,blue,purple
